MinuteToComplete,Year,Nachklausur,Course,Grade,AttemptNumber,Bachelor/Master,Study
55,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
60,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
60,2019,No,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
90,2019,No,Vis,3,2,Bachelor,WirtschaftsInformatik
69,2019,No,Vis,3,1,Bachelor,WirtschaftsInformatik
53,2019,No,Vis,3,1,Master,(Wirtschafts-)Mathematik
66,2019,No,Vis,1,2,Bachelor,(Wirtschafts-)Mathematik
78,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
57,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
73,2019,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
67,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
75,2019,No,Vis,3.7,1,Bachelor,WirtschaftsInformatik
57,2019,No,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
15,2019,No,Vis,5,3,Master,WirtschaftsInformatik
90,2019,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
